"Date_l" "Time_l" "snr_l"
7.05173611111111 34.87705 3.33627810840261
7.05173611111111 34.81765 3.20105594582327
7.05173611111111 34.6497 3.57092228564263
7.05173611111111 34.88805 3.72621589837185
7.05173611111111 34.60605 3.02740518630914
7.05173611111111 34.88855 3.45308994044484
7.05173611111111 34.80505 3.29404572058324
7.05173611111111 34.6702 3.32667151973873
7.05173611111111 34.68335 3.27486430553679
7.05173611111111 34.7605 3.32922597128068
7.05173611111111 34.74215 3.04176469665304
7.05173611111111 34.6761 3.52706492241089
7.05173611111111 34.7549 3.14220765927905
7.05173611111111 34.6595 3.16473832957541
7.05173611111111 34.7193 3.22492034645172
7.05173611111111 34.88565 3.93763774579067
7.05173611111111 34.6847 3.42978817818247
7.05173611111111 34.7246 3.74396728031153
7.05173611111111 34.8864 3.61996282880136
7.05173611111111 34.85505 3.37322507243345
7.05173611111111 34.8784 3.31419102203424
7.05173611111111 34.72745 3.07555618002945
7.05173611111111 34.72475 3.18851602534456
7.05173611111111 34.72565 3.05897392250169
7.05173611111111 34.72755 3.31588460174525
7.05173611111111 34.83425 3.81236847702315
7.05173611111111 34.80065 3.05700324346814
7.05173611111111 34.7948 3.39515121592731
7.05173611111111 34.79095 3.08200302208256
7.05173611111111 34.76845 3.06592986639475
7.05173611111111 34.68065 3.21336463439493
7.05173611111111 34.70705 3.32890310390618
7.05173611111111 34.8319 3.95198309357572
7.05173611111111 34.69035 3.46321697315468
7.05173611111111 34.6603 3.17453387034873
7.05173611111111 34.75905 3.59448912407856
7.05173611111111 34.72305 3.09483678653188
7.05173611111111 34.834 3.37674323613285
7.05173611111111 34.7289 3.07199598864432
7.05173611111111 34.8954 3.26475153370402
7.05173611111111 34.7869 3.2692339137921
7.05173611111111 34.6992 3.39204540986955
7.05173611111111 34.8542 3.0581661142648
7.05173611111111 34.8992 3.17734100287756
7.05173611111111 34.72805 3.03216249612805
7.05173611111111 34.8968 3.59818953446421
7.05173611111111 34.64215 3.19491923767966
7.05173611111111 34.76745 3.65032963940363
7.05173611111111 34.8157 3.00378294960209
7.05173611111111 34.8818 3.2015818678267
7.05173611111111 34.7134 3.32828185813322
7.05173611111111 34.61735 3.21340980850105
7.05173611111111 34.7593 3.33268093711366
7.05173611111111 34.7108 3.45638698771944
7.05173611111111 34.6383 3.25484775964174
7.05173611111111 34.69625 3.30145693980659
7.05173611111111 34.82305 3.32366067503992
7.05173611111111 34.7259 3.44335087852568
7.05173611111111 34.76115 3.03237529156945
7.05173611111111 34.78945 3.77582146347151
7.05173611111111 34.6999 3.6894464651813
7.05173611111111 34.63035 3.11235999775859
7.05173611111111 34.85885 3.19885802797605
7.05173611111111 34.8021 3.03501238997
7.05173611111111 34.8318 3.06365983712288
7.05173611111111 34.75575 3.50852100316448
7.05173611111111 34.64515 3.47925810183238
7.05173611111111 34.78645 3.44875066997961
7.05173611111111 34.6607 3.22588943588158
7.05173611111111 34.6747 3.9386594707733
7.05173611111111 34.8456 3.20922894077132
7.05173611111111 34.8452 3.36536504741303
7.05173611111111 34.616 3.24448578348189
7.05173611111111 34.67025 3.77136406722598
7.05173611111111 34.69375 3.30490469424665
7.05173611111111 34.6903 3.3615520104743
7.05173611111111 34.7186 3.10165141314098
7.05173611111111 34.68795 3.19721927922977
7.05173611111111 34.72475 3.68911165360171
7.05173611111111 34.6245 3.32029000722206
7.05173611111111 34.86665 3.11598270067079
7.05173611111111 34.6652 3.52069318084114
7.05173611111111 34.62475 3.33015495980962
7.05173611111111 34.6975 3.55671271038668
7.05173611111111 34.6179 3.14234585319356
7.05173611111111 34.69015 3.39948984564593
7.05173611111111 34.7265 3.43106188988111
7.05173611111111 34.87855 3.34450524963989
7.05173611111111 34.8649 3.48362112792606
7.05173611111111 34.8434 3.0645195379865
7.05173611111111 34.7432 3.07618227449452
7.05173611111111 34.81465 3.76491897634707
7.05173611111111 34.76025 3.61032448102942
7.05173611111111 34.8386 3.51724760795378
7.05173611111111 34.7007 3.13279813225412
7.05173611111111 34.63615 3.41946088984276
7.05173611111111 34.6015 3.14111447890636
7.05173611111111 34.8652 3.10579091354287
7.05173611111111 34.6151 3.21050775432088
7.05173611111111 34.6789 3.72441332356721
7.05173611111111 34.72535 3.52126738456212
7.05173611111111 34.8994 3.30588624729973
7.05173611111111 34.84605 3.09276571249197
7.05173611111111 34.71095 3.38294871833911
7.05173611111111 34.60785 3.51761467319582
7.05173611111111 34.8589 3.03192876087488
7.05173611111111 34.8043 3.47113606677912
7.05173611111111 34.81385 3.20775366479279
7.05173611111111 34.63 3.29448641026406
7.05173611111111 34.6134 3.10825434031619
7.05173611111111 34.7988 3.08781245480578
7.05173611111111 34.8985 3.83991820540251
7.05173611111111 34.7034 3.68504163144591
7.05173611111111 34.6201 3.58600132288609
7.05173611111111 34.8472 3.63681877692952
7.05173611111111 34.78055 3.12833086078737
